"","gene","Parameter1","Parameter2","rho","CI","CI_low","CI_high","S","p","Method","n_Obs"
"1","Ahr","logFC","time_index",0.25,0.95,-0.514178875427661,0.792909540830074,90,0.516489552301226,"Spearman",9
"2","Ar","logFC","time_index",-0.65,0.95,-0.921533805246748,0.0484701316931157,198,0.0580730580171487,"Spearman",9
"3","Arid2","logFC","time_index",-0.1,0.95,-0.727851090693883,0.619055026596402,132,0.79797169523485,"Spearman",9
"4","Arid3a","logFC","time_index",-0.4,0.95,-0.847568661171499,0.380084075878159,168,0.286105101908313,"Spearman",9
"5","Arnt","logFC","time_index",0.75,0.95,0.148052034474378,0.946469652898276,30,0.0199421261319925,"Spearman",9
"6","Arntl","logFC","time_index",0.166666666666667,0.95,-0.575408202183274,0.75823210334353,100,0.668231040071504,"Spearman",9
"7","Ascl1","logFC","time_index",0.316666666666667,0.95,-0.458862111967596,0.818331249069249,82,0.406397014486386,"Spearman",9
"8","Atf1","logFC","time_index",0.516666666666667,0.95,-0.246821256648814,0.884394399792172,58,0.154390120986225,"Spearman",9
"9","Atf2","logFC","time_index",-0.15,0.95,-0.750870290691378,0.586731109992407,138,0.700094230969142,"Spearman",9
"10","Atf4","logFC","time_index",0.466666666666667,0.95,-0.307703180721546,0.869153323564428,64,0.205386351105812,"Spearman",9
"11","Atf6","logFC","time_index",-0.133333333333333,0.95,-0.743356072842784,0.597773081697375,136,0.732367505236297,"Spearman",9
"12","Batf","logFC","time_index",0.166666666666667,0.95,-0.575408202183274,0.75823210334353,100,0.668231040071504,"Spearman",9
"13","Bcl11a","logFC","time_index",0.683333333333333,0.95,0.0115334080855215,0.930102279439233,38,0.0424422720870724,"Spearman",9
"14","Cdx2","logFC","time_index",0.183333333333333,0.95,-0.563793498516523,0.765446100929141,98,0.636819811762894,"Spearman",9
"15","Cebpa","logFC","time_index",0.366666666666667,0.95,-0.413014534946927,0.836190895458513,76,0.331739801433015,"Spearman",9
"16","Cebpb","logFC","time_index",0.3,0.95,-0.473278875423828,0.8121546660547,84,0.432845326709482,"Spearman",9
"17","Cebpd","logFC","time_index",0.633333333333333,0.95,-0.0766934364816069,0.917148052696494,44,0.0670857868923456,"Spearman",9
"18","Cebpg","logFC","time_index",0.0666666666666667,0.95,-0.639330833109999,0.711676407795736,112,0.864689784626204,"Spearman",9
"19","Clock","logFC","time_index",-0.116666666666667,0.95,-0.735684667629117,0.608544444765703,134,0.765007942926146,"Spearman",9
"20","Creb1","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"21","Creb3","logFC","time_index",-0.433333333333333,0.95,-0.858549326369066,0.3450497171227,172,0.243952435880052,"Spearman",9
"22","Creb3l1","logFC","time_index",0,0.95,-0.677136548210234,0.677136548210234,120,1,"Spearman",9
"23","Crem","logFC","time_index",-0.416666666666667,0.95,-0.853107320580695,0.362842287387987,170,0.264586046747496,"Spearman",9
"24","Ctcf","logFC","time_index",0,0.95,-0.677136548210234,0.677136548210234,120,1,"Spearman",9
"25","Cux1","logFC","time_index",0.7,0.95,0.0434662734443205,0.934288110083277,36,0.0357695749702617,"Spearman",9
"26","E2f2","logFC","time_index",-0.266666666666667,0.95,-0.799447231240067,0.500921072458279,152,0.487922274838701,"Spearman",9
"27","E2f4","logFC","time_index",-0.0166666666666667,0.95,-0.686060603066509,0.668008767392338,122,0.966054803994686,"Spearman",9
"28","E2f5","logFC","time_index",0.316666666666667,0.95,-0.458862111967596,0.818331249069249,82,0.406397014486386,"Spearman",9
"29","E2f7","logFC","time_index",-0.0833333333333333,0.95,-0.719850144693059,0.629314184425361,130,0.831214097710308,"Spearman",9
"30","Ebf1","logFC","time_index",0.433333333333333,0.95,-0.3450497171227,0.858549326369066,68,0.243952435880052,"Spearman",9
"31","Egr1","logFC","time_index",0.366666666666667,0.95,-0.413014534946927,0.836190895458513,76,0.331739801433015,"Spearman",9
"32","Ehf","logFC","time_index",0.7,0.95,0.0434662734443205,0.934288110083277,36,0.0357695749702617,"Spearman",9
"33","Elf1","logFC","time_index",-0.05,0.95,-0.703324221431592,0.649113470966588,126,0.89835280435063,"Spearman",9
"34","Elf3","logFC","time_index",0.383333333333333,0.95,-0.396800267551378,0.841930750121891,74,0.308495272380372,"Spearman",9
"35","Elk1","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"36","Elk4","logFC","time_index",-0.633333333333333,0.95,-0.917148052696494,0.0766934364816069,196,0.0670857868923456,"Spearman",9
"37","Eomes","logFC","time_index",0.666666666666667,0.95,-0.0190855752326736,0.925851354602635,40,0.0498672305688851,"Spearman",9
"38","Epas1","logFC","time_index",0.5,0.95,-0.267807758949841,0.879399707121547,60,0.170470660787054,"Spearman",9
"39","Erg","logFC","time_index",-0.65,0.95,-0.921533805246748,0.0484701316931157,198,0.0580730580171487,"Spearman",9
"40","Esr1","logFC","time_index",0.466666666666667,0.95,-0.307703180721546,0.869153323564428,64,0.205386351105812,"Spearman",9
"41","Esr2","logFC","time_index",0.6,0.95,-0.129921172974771,0.908165369930819,48,0.0876228290414023,"Spearman",9
"42","Esrra","logFC","time_index",0.166666666666667,0.95,-0.575408202183274,0.75823210334353,100,0.668231040071504,"Spearman",9
"43","Ets1","logFC","time_index",0.466666666666667,0.95,-0.307703180721546,0.869153323564428,64,0.205386351105812,"Spearman",9
"44","Ets2","logFC","time_index",0.683333333333333,0.95,0.0115334080855215,0.930102279439233,38,0.0424422720870724,"Spearman",9
"45","Etv1","logFC","time_index",0.133333333333333,0.95,-0.597773081697375,0.743356072842784,104,0.732367505236297,"Spearman",9
"46","Etv4","logFC","time_index",0.166666666666667,0.95,-0.575408202183274,0.75823210334353,100,0.668231040071504,"Spearman",9
"47","Fli1","logFC","time_index",0.433333333333333,0.95,-0.3450497171227,0.858549326369066,68,0.243952435880052,"Spearman",9
"48","Fosl1","logFC","time_index",0.45,0.95,-0.326679544960764,0.863897186665876,66,0.224216107492337,"Spearman",9
"49","Fosl2","logFC","time_index",0.166666666666667,0.95,-0.575408202183274,0.75823210334353,100,0.668231040071504,"Spearman",9
"50","Foxa1","logFC","time_index",0,0.95,-0.677136548210234,0.677136548210234,120,1,"Spearman",9
"51","Foxa2","logFC","time_index",0.383333333333333,0.95,-0.396800267551378,0.841930750121891,74,0.308495272380372,"Spearman",9
"52","Foxj2","logFC","time_index",0.133333333333333,0.95,-0.597773081697375,0.743356072842784,104,0.732367505236297,"Spearman",9
"53","Foxk2","logFC","time_index",-0.216666666666667,0.95,-0.779448107926348,0.539642391965669,146,0.575514895711925,"Spearman",9
"54","Foxl2","logFC","time_index",0.25,0.95,-0.514178875427661,0.792909540830074,90,0.516489552301226,"Spearman",9
"55","Foxm1","logFC","time_index",-0.5,0.95,-0.879399707121547,0.267807758949841,180,0.170470660787054,"Spearman",9
"56","Foxo1","logFC","time_index",-0.15,0.95,-0.750870290691378,0.586731109992407,138,0.700094230969142,"Spearman",9
"57","Foxo3","logFC","time_index",-0.733333333333333,0.95,-0.942470379296793,-0.111627094416259,208,0.0245541500714696,"Spearman",9
"58","Foxo4","logFC","time_index",-0.366666666666667,0.95,-0.836190895458513,0.413014534946927,164,0.331739801433015,"Spearman",9
"59","Gabpa","logFC","time_index",-0.0666666666666667,0.95,-0.711676407795736,0.639330833109999,128,0.864689784626204,"Spearman",9
"60","Gata2","logFC","time_index",0.416666666666667,0.95,-0.362842287387987,0.853107320580695,70,0.264586046747496,"Spearman",9
"61","Gata3","logFC","time_index",0.716666666666667,0.95,0.0767994444926587,0.938410330349989,34,0.0298180356958453,"Spearman",9
"62","Gata4","logFC","time_index",0,0.95,-0.677136548210234,0.677136548210234,120,1,"Spearman",9
"63","Gata6","logFC","time_index",0.233333333333333,0.95,-0.527081281435668,0.786244420519532,92,0.545698778218273,"Spearman",9
"64","Gfi1b","logFC","time_index",0.3,0.95,-0.473278875423828,0.8121546660547,84,0.432845326709482,"Spearman",9
"65","Hif1a","logFC","time_index",-0.183333333333333,0.95,-0.765446100929141,0.563793498516523,142,0.636819811762894,"Spearman",9
"66","Hinfp","logFC","time_index",-0.25,0.95,-0.792909540830074,0.514178875427661,150,0.516489552301226,"Spearman",9
"67","Hnf1a","logFC","time_index",-0.1,0.95,-0.727851090693883,0.619055026596402,132,0.79797169523485,"Spearman",9
"68","Hnf1b","logFC","time_index",0.716666666666667,0.95,0.0767994444926587,0.938410330349989,34,0.0298180356958453,"Spearman",9
"69","Hnf4a","logFC","time_index",-0.0833333333333333,0.95,-0.719850144693059,0.629314184425361,130,0.831214097710308,"Spearman",9
"70","Hoxb13","logFC","time_index",0.266666666666667,0.95,-0.500921072458279,0.799447231240067,88,0.487922274838701,"Spearman",9
"71","Hsf1","logFC","time_index",0.316666666666667,0.95,-0.458862111967596,0.818331249069249,82,0.406397014486386,"Spearman",9
"72","Irf1","logFC","time_index",-0.0166666666666667,0.95,-0.686060603066509,0.668008767392338,122,0.966054803994686,"Spearman",9
"73","Irf2","logFC","time_index",-0.0166666666666667,0.95,-0.686060603066509,0.668008767392338,122,0.966054803994686,"Spearman",9
"74","Irf3","logFC","time_index",0.0333333333333333,0.95,-0.658670203817634,0.694787677227017,116,0.932156735540504,"Spearman",9
"75","Irf9","logFC","time_index",0.533333333333333,0.95,-0.2250932921372,0.889306267521555,56,0.139226867543978,"Spearman",9
"76","Jun","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"77","Junb","logFC","time_index",0,0.95,-0.677136548210234,0.677136548210234,120,1,"Spearman",9
"78","Jund","logFC","time_index",0.283333333333333,0.95,-0.487292983344426,0.80586111162849,86,0.46003032896572,"Spearman",9
"79","Kdm5b","logFC","time_index",0.483333333333333,0.95,-0.288090115691403,0.874320076779803,62,0.187469855215542,"Spearman",9
"80","Klf1","logFC","time_index",-0.45,0.95,-0.863897186665876,0.326679544960764,174,0.224216107492337,"Spearman",9
"81","Klf3","logFC","time_index",0.466666666666667,0.95,-0.307703180721546,0.869153323564428,64,0.205386351105812,"Spearman",9
"82","Klf4","logFC","time_index",0.55,0.95,-0.20258386451924,0.894137353546692,54,0.124976784188332,"Spearman",9
"83","Klf5","logFC","time_index",0.133333333333333,0.95,-0.597773081697375,0.743356072842784,104,0.732367505236297,"Spearman",9
"84","Klf6","logFC","time_index",0.05,0.95,-0.649113470966588,0.703324221431592,114,0.89835280435063,"Spearman",9
"85","Klf9","logFC","time_index",-0.133333333333333,0.95,-0.743356072842784,0.597773081697375,136,0.732367505236297,"Spearman",9
"86","Kmt2a","logFC","time_index",0.266666666666667,0.95,-0.500921072458279,0.799447231240067,88,0.487922274838701,"Spearman",9
"87","Lef1","logFC","time_index",-0.316666666666667,0.95,-0.818331249069249,0.458862111967596,158,0.406397014486386,"Spearman",9
"88","Lhx2","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"89","Lyl1","logFC","time_index",0.0833333333333333,0.95,-0.629314184425361,0.719850144693059,110,0.831214097710308,"Spearman",9
"90","Maf","logFC","time_index",0.283333333333333,0.95,-0.487292983344426,0.80586111162849,86,0.46003032896572,"Spearman",9
"91","Mafb","logFC","time_index",-0.45,0.95,-0.863897186665876,0.326679544960764,174,0.224216107492337,"Spearman",9
"92","Maff","logFC","time_index",0.116666666666667,0.95,-0.608544444765703,0.735684667629117,106,0.765007942926146,"Spearman",9
"93","Mafg","logFC","time_index",0.65,0.95,-0.0484701316931157,0.921533805246748,42,0.0580730580171486,"Spearman",9
"94","Mafk","logFC","time_index",-0.166666666666667,0.95,-0.75823210334353,0.575408202183274,140,0.668231040071504,"Spearman",9
"95","Max","logFC","time_index",0.466666666666667,0.95,-0.307703180721546,0.869153323564428,64,0.205386351105812,"Spearman",9
"96","Maz","logFC","time_index",-0.483333333333333,0.95,-0.874320076779803,0.288090115691403,178,0.187469855215542,"Spearman",9
"97","Mbd2","logFC","time_index",-0.0333333333333333,0.95,-0.694787677227017,0.658670203817634,124,0.932156735540504,"Spearman",9
"98","Mef2a","logFC","time_index",0.3,0.95,-0.473278875423828,0.8121546660547,84,0.432845326709482,"Spearman",9
"99","Mef2b","logFC","time_index",0.45,0.95,-0.326679544960764,0.863897186665876,66,0.224216107492337,"Spearman",9
"100","Mef2c","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"101","Meis1","logFC","time_index",0.383333333333333,0.95,-0.396800267551378,0.841930750121891,74,0.308495272380372,"Spearman",9
"102","Meis2","logFC","time_index",0.333333333333333,0.95,-0.444025086294246,0.824394091676083,80,0.380713181676864,"Spearman",9
"103","Mitf","logFC","time_index",0.566666666666667,0.95,-0.179250042882494,0.898889634445632,52,0.111632987611491,"Spearman",9
"104","Mybl2","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"105","Myc","logFC","time_index",-0.35,0.95,-0.830346306968351,0.428749150036578,162,0.355819572501788,"Spearman",9
"106","Mycn","logFC","time_index",0.266666666666667,0.95,-0.500921072458279,0.799447231240067,88,0.487922274838701,"Spearman",9
"107","Myod1","logFC","time_index",-0.0166666666666667,0.95,-0.686060603066509,0.668008767392338,122,0.966054803994686,"Spearman",9
"108","Ncoa1","logFC","time_index",0.266666666666667,0.95,-0.500921072458279,0.799447231240067,88,0.487922274838701,"Spearman",9
"109","Ncoa2","logFC","time_index",0.0833333333333333,0.95,-0.629314184425361,0.719850144693059,110,0.831214097710308,"Spearman",9
"110","Ncoa3","logFC","time_index",-0.05,0.95,-0.703324221431592,0.649113470966588,126,0.89835280435063,"Spearman",9
"111","Necab3","logFC","time_index",0.233333333333333,0.95,-0.527081281435668,0.786244420519532,92,0.545698778218273,"Spearman",9
"112","Neurod1","logFC","time_index",-0.416666666666667,0.95,-0.853107320580695,0.362842287387987,170,0.264586046747496,"Spearman",9
"113","Nfatc1","logFC","time_index",0.533333333333333,0.95,-0.2250932921372,0.889306267521555,56,0.139226867543978,"Spearman",9
"114","Nfatc2","logFC","time_index",0.7,0.95,0.0434662734443205,0.934288110083277,36,0.0357695749702617,"Spearman",9
"115","Nfe2","logFC","time_index",0.616666666666667,0.95,-0.103822993214458,0.912692468003892,46,0.0769288099377629,"Spearman",9
"116","Nfe2l1","logFC","time_index",-0.0333333333333333,0.95,-0.694787677227017,0.658670203817634,124,0.932156735540504,"Spearman",9
"117","Nfe2l2","logFC","time_index",-0.0333333333333333,0.95,-0.694787677227017,0.658670203817634,124,0.932156735540504,"Spearman",9
"118","Nfic","logFC","time_index",0.683333333333333,0.95,0.0115334080855215,0.930102279439233,38,0.0424422720870724,"Spearman",9
"119","Nfkb1","logFC","time_index",0.183333333333333,0.95,-0.563793498516523,0.765446100929141,98,0.636819811762894,"Spearman",9
"120","Nfya","logFC","time_index",0.0166666666666667,0.95,-0.668008767392338,0.686060603066509,118,0.966054803994686,"Spearman",9
"121","Nfyb","logFC","time_index",0.216666666666667,0.95,-0.539642391965669,0.779448107926348,94,0.575514895711926,"Spearman",9
"122","Nr1h2","logFC","time_index",0.05,0.95,-0.649113470966588,0.703324221431592,114,0.89835280435063,"Spearman",9
"123","Nr1h3","logFC","time_index",-0.0666666666666667,0.95,-0.711676407795736,0.639330833109999,128,0.864689784626204,"Spearman",9
"124","Nr2c2","logFC","time_index",0.116666666666667,0.95,-0.608544444765703,0.735684667629117,106,0.765007942926146,"Spearman",9
"125","Nr2f1","logFC","time_index",0.4,0.95,-0.380084075878159,0.847568661171499,72,0.286105101908313,"Spearman",9
"126","Nr2f2","logFC","time_index",0.366666666666667,0.95,-0.413014534946927,0.836190895458513,76,0.331739801433015,"Spearman",9
"127","Nr3c1","logFC","time_index",0.666666666666667,0.95,-0.0190855752326736,0.925851354602635,40,0.0498672305688851,"Spearman",9
"128","Nr4a1","logFC","time_index",0.0833333333333333,0.95,-0.629314184425361,0.719850144693059,110,0.831214097710308,"Spearman",9
"129","Nr5a1","logFC","time_index",0.116666666666667,0.95,-0.608544444765703,0.735684667629117,106,0.765007942926146,"Spearman",9
"130","Nr5a2","logFC","time_index",-0.4,0.95,-0.847568661171499,0.380084075878159,168,0.286105101908313,"Spearman",9
"131","Nrf1","logFC","time_index",0.0833333333333333,0.95,-0.629314184425361,0.719850144693059,110,0.831214097710308,"Spearman",9
"132","Onecut1","logFC","time_index",0.516666666666667,0.95,-0.246821256648814,0.884394399792172,58,0.154390120986225,"Spearman",9
"133","Otx2","logFC","time_index",-0.65,0.95,-0.921533805246748,0.0484701316931157,198,0.0580730580171487,"Spearman",9
"134","Pax6","logFC","time_index",0.6,0.95,-0.129921172974771,0.908165369930819,48,0.0876228290414023,"Spearman",9
"135","Pax8","logFC","time_index",0.25,0.95,-0.514178875427661,0.792909540830074,90,0.516489552301226,"Spearman",9
"136","Pbx2","logFC","time_index",0.3,0.95,-0.473278875423828,0.8121546660547,84,0.432845326709482,"Spearman",9
"137","Pbx3","logFC","time_index",0.5,0.95,-0.267807758949841,0.879399707121547,60,0.170470660787054,"Spearman",9
"138","Pdx1","logFC","time_index",0.266666666666667,0.95,-0.500921072458279,0.799447231240067,88,0.487922274838701,"Spearman",9
"139","Pgr","logFC","time_index",0.75,0.95,0.148052034474378,0.946469652898276,30,0.0199421261319925,"Spearman",9
"140","Pknox1","logFC","time_index",-0.116666666666667,0.95,-0.735684667629117,0.608544444765703,134,0.765007942926146,"Spearman",9
"141","Pou2f1","logFC","time_index",0.666666666666667,0.95,-0.0190855752326736,0.925851354602635,40,0.0498672305688851,"Spearman",9
"142","Pou2f2","logFC","time_index",0.0666666666666667,0.95,-0.639330833109999,0.711676407795736,112,0.864689784626204,"Spearman",9
"143","Ppara","logFC","time_index",0.783333333333333,0.95,0.226154448518133,0.954291252080462,26,0.0125198730194499,"Spearman",9
"144","Pparg","logFC","time_index",-0.166666666666667,0.95,-0.75823210334353,0.575408202183274,140,0.668231040071504,"Spearman",9
"145","Prdm1","logFC","time_index",0.6,0.95,-0.129921172974771,0.908165369930819,48,0.0876228290414023,"Spearman",9
"146","Prox1","logFC","time_index",-0.133333333333333,0.95,-0.743356072842784,0.597773081697375,136,0.732367505236297,"Spearman",9
"147","Rara","logFC","time_index",0.0166666666666667,0.95,-0.668008767392338,0.686060603066509,118,0.966054803994686,"Spearman",9
"148","Rbpj","logFC","time_index",0.1,0.95,-0.619055026596402,0.727851090693883,108,0.797971695234851,"Spearman",9
"149","Rela","logFC","time_index",-0.05,0.95,-0.703324221431592,0.649113470966588,126,0.89835280435063,"Spearman",9
"150","Relb","logFC","time_index",-0.15,0.95,-0.750870290691378,0.586731109992407,138,0.700094230969142,"Spearman",9
"151","Rfx1","logFC","time_index",-0.266666666666667,0.95,-0.799447231240067,0.500921072458279,152,0.487922274838701,"Spearman",9
"152","Rfx2","logFC","time_index",-0.366666666666667,0.95,-0.836190895458513,0.413014534946927,164,0.331739801433015,"Spearman",9
"153","Runx1","logFC","time_index",0.516666666666667,0.95,-0.246821256648814,0.884394399792172,58,0.154390120986225,"Spearman",9
"154","Runx3","logFC","time_index",-0.2,0.95,-0.772516691083253,0.551875572212081,144,0.605901274179553,"Spearman",9
"155","Rxra","logFC","time_index",0.133333333333333,0.95,-0.597773081697375,0.743356072842784,104,0.732367505236297,"Spearman",9
"156","Six5","logFC","time_index",-0.616666666666667,0.95,-0.912692468003892,0.103822993214458,194,0.0769288099377629,"Spearman",9
"157","Smad1","logFC","time_index",0.166666666666667,0.95,-0.575408202183274,0.75823210334353,100,0.668231040071504,"Spearman",9
"158","Smad3","logFC","time_index",0.5,0.95,-0.267807758949841,0.879399707121547,60,0.170470660787054,"Spearman",9
"159","Smad4","logFC","time_index",0.6,0.95,-0.129921172974771,0.908165369930819,48,0.0876228290414023,"Spearman",9
"160","Smad5","logFC","time_index",-0.316666666666667,0.95,-0.818331249069249,0.458862111967596,158,0.406397014486386,"Spearman",9
"161","Snapc4","logFC","time_index",-0.583333333333333,0.95,-0.903565022833856,0.155045693018319,190,0.0991858164798833,"Spearman",9
"162","Sox10","logFC","time_index",0.683333333333333,0.95,0.0115334080855215,0.930102279439233,38,0.0424422720870724,"Spearman",9
"163","Sox11","logFC","time_index",-0.2,0.95,-0.772516691083253,0.551875572212081,144,0.605901274179553,"Spearman",9
"164","Sox13","logFC","time_index",-0.15,0.95,-0.750870290691378,0.586731109992407,138,0.700094230969142,"Spearman",9
"165","Sox6","logFC","time_index",0.45,0.95,-0.326679544960764,0.863897186665876,66,0.224216107492337,"Spearman",9
"166","Sp1","logFC","time_index",0.416666666666667,0.95,-0.362842287387987,0.853107320580695,70,0.264586046747496,"Spearman",9
"167","Sp2","logFC","time_index",0.283333333333333,0.95,-0.487292983344426,0.80586111162849,86,0.46003032896572,"Spearman",9
"168","Sp3","logFC","time_index",0.366666666666667,0.95,-0.413014534946927,0.836190895458513,76,0.331739801433015,"Spearman",9
"169","Sp4","logFC","time_index",0.166666666666667,0.95,-0.575408202183274,0.75823210334353,100,0.668231040071504,"Spearman",9
"170","Srebf1","logFC","time_index",0.466666666666667,0.95,-0.307703180721546,0.869153323564428,64,0.205386351105812,"Spearman",9
"171","Srebf2","logFC","time_index",0.45,0.95,-0.326679544960764,0.863897186665876,66,0.224216107492337,"Spearman",9
"172","Srf","logFC","time_index",0.316666666666667,0.95,-0.458862111967596,0.818331249069249,82,0.406397014486386,"Spearman",9
"173","Stat1","logFC","time_index",0.1,0.95,-0.619055026596402,0.727851090693883,108,0.797971695234851,"Spearman",9
"174","Stat2","logFC","time_index",0.583333333333333,0.95,-0.155045693018319,0.903565022833856,50,0.0991858164798833,"Spearman",9
"175","Stat3","logFC","time_index",0.05,0.95,-0.649113470966588,0.703324221431592,114,0.89835280435063,"Spearman",9
"176","Stat5a","logFC","time_index",0.35,0.95,-0.428749150036578,0.830346306968351,78,0.355819572501789,"Spearman",9
"177","Stat5b","logFC","time_index",-0.366666666666667,0.95,-0.836190895458513,0.413014534946927,164,0.331739801433015,"Spearman",9
"178","Stat6","logFC","time_index",0.25,0.95,-0.514178875427661,0.792909540830074,90,0.516489552301226,"Spearman",9
"179","Tal1","logFC","time_index",0.05,0.95,-0.649113470966588,0.703324221431592,114,0.89835280435063,"Spearman",9
"180","Tbp","logFC","time_index",-0.716666666666667,0.95,-0.938410330349989,-0.0767994444926587,206,0.0298180356958453,"Spearman",9
"181","Tcf12","logFC","time_index",0.5,0.95,-0.267807758949841,0.879399707121547,60,0.170470660787054,"Spearman",9
"182","Tcf3","logFC","time_index",-0.266666666666667,0.95,-0.799447231240067,0.500921072458279,152,0.487922274838701,"Spearman",9
"183","Tcf4","logFC","time_index",0.416666666666667,0.95,-0.362842287387987,0.853107320580695,70,0.264586046747496,"Spearman",9
"184","Tcf7","logFC","time_index",0.5,0.95,-0.267807758949841,0.879399707121547,60,0.170470660787054,"Spearman",9
"185","Tcf7l2","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"186","Tead1","logFC","time_index",0.483333333333333,0.95,-0.288090115691403,0.874320076779803,62,0.187469855215542,"Spearman",9
"187","Tead2","logFC","time_index",-0.416666666666667,0.95,-0.853107320580695,0.362842287387987,170,0.264586046747496,"Spearman",9
"188","Tead4","logFC","time_index",0.25,0.95,-0.514178875427661,0.792909540830074,90,0.516489552301226,"Spearman",9
"189","Tfap2a","logFC","time_index",0.0333333333333333,0.95,-0.658670203817634,0.694787677227017,116,0.932156735540504,"Spearman",9
"190","Tfap2c","logFC","time_index",-0.383333333333333,0.95,-0.841930750121891,0.396800267551378,166,0.308495272380372,"Spearman",9
"191","Tfap4","logFC","time_index",-0.233333333333333,0.95,-0.786244420519532,0.527081281435668,148,0.545698778218273,"Spearman",9
"192","Tp63","logFC","time_index",0.516666666666667,0.95,-0.246821256648814,0.884394399792172,58,0.154390120986225,"Spearman",9
"193","Twist1","logFC","time_index",0.266666666666667,0.95,-0.500921072458279,0.799447231240067,88,0.487922274838701,"Spearman",9
"194","Usf1","logFC","time_index",0.533333333333333,0.95,-0.2250932921372,0.889306267521555,56,0.139226867543978,"Spearman",9
"195","Usf2","logFC","time_index",0.2,0.95,-0.551875572212081,0.772516691083253,96,0.605901274179553,"Spearman",9
"196","Vdr","logFC","time_index",0.316666666666667,0.95,-0.458862111967596,0.818331249069249,82,0.406397014486386,"Spearman",9
"197","Wt1","logFC","time_index",-0.25,0.95,-0.792909540830074,0.514178875427661,150,0.516489552301226,"Spearman",9
"198","Xbp1","logFC","time_index",0,0.95,-0.677136548210234,0.677136548210234,120,1,"Spearman",9
"199","Yy1","logFC","time_index",0.35,0.95,-0.428749150036578,0.830346306968351,78,0.355819572501789,"Spearman",9
"200","Zbtb11","logFC","time_index",-0.483333333333333,0.95,-0.874320076779803,0.288090115691403,178,0.187469855215542,"Spearman",9
"201","Zfp143","logFC","time_index",-0.0166666666666667,0.95,-0.686060603066509,0.668008767392338,122,0.966054803994686,"Spearman",9
"202","Zfp217","logFC","time_index",0.566666666666667,0.95,-0.179250042882494,0.898889634445632,52,0.111632987611491,"Spearman",9
"203","Zfp384","logFC","time_index",-0.316666666666667,0.95,-0.818331249069249,0.458862111967596,158,0.406397014486386,"Spearman",9
"204","Zfp592","logFC","time_index",0.0333333333333333,0.95,-0.658670203817634,0.694787677227017,116,0.932156735540504,"Spearman",9
"205","Zfx","logFC","time_index",-0.233333333333333,0.95,-0.786244420519532,0.527081281435668,148,0.545698778218273,"Spearman",9
"206","Zkscan1","logFC","time_index",0.75,0.95,0.148052034474378,0.946469652898276,30,0.0199421261319925,"Spearman",9
"207","Znf740","logFC","time_index",0.15,0.95,-0.586731109992407,0.750870290691378,102,0.700094230969142,"Spearman",9
